CODLOC,sexo,tramo,personas,sexo_label,tramo_label
10830,1,25-29,214,varones,25-29
10830,1,30-34,324,varones,30-34
10830,1,35-39,388,varones,35-39
10830,1,40-44,377,varones,40-44
10830,1,45-49,371,varones,45-49
10830,1,50-54,327,varones,50-54
10830,1,55-59,253,varones,55-59
10830,1,60-64,213,varones,60-64
10830,1,65-69,213,varones,65-69
10830,1,70-74,149,varones,70-74
10830,1,75-79,109,varones,75-79
10830,1,80-84,67,varones,80-84
10830,1,85-89,36,varones,85-89
10830,1,90-94,8,varones,90-94
10830,1,+95,3,varones,+95
10830,2,0-4,266,mujeres,0-4
10830,2,5-9,324,mujeres,5-9
10830,2,10-14,288,mujeres,10-14
10830,2,15-19,337,mujeres,15-19
10830,2,20-24,278,mujeres,20-24
10830,2,25-29,243,mujeres,25-29
10830,2,30-34,391,mujeres,30-34
10830,2,35-39,454,mujeres,35-39
10830,2,40-44,442,mujeres,40-44
10830,2,45-49,372,mujeres,45-49
10830,2,50-54,351,mujeres,50-54
10830,2,55-59,265,mujeres,55-59
10830,2,60-64,274,mujeres,60-64
10830,2,65-69,237,mujeres,65-69
10830,2,70-74,196,mujeres,70-74
10830,2,75-79,151,mujeres,75-79
10830,2,80-84,99,mujeres,80-84
10830,2,85-89,58,mujeres,85-89
10830,2,90-94,22,mujeres,90-94
10830,2,+95,9,mujeres,+95
10831,1,0-4,1,varones,0-4
10831,1,5-9,0,varones,5-9
10831,1,10-14,1,varones,10-14
10831,1,15-19,0,varones,15-19
10831,1,20-24,2,varones,20-24
10831,1,25-29,2,varones,25-29
10831,1,30-34,1,varones,30-34
10831,1,35-39,1,varones,35-39
10831,1,40-44,1,varones,40-44
10831,1,45-49,2,varones,45-49
10831,1,50-54,2,varones,50-54
10831,1,55-59,0,varones,55-59
10831,1,60-64,0,varones,60-64
10831,1,65-69,1,varones,65-69
10831,1,70-74,0,varones,70-74
10831,1,75-79,0,varones,75-79
10831,1,80-84,0,varones,80-84
10831,1,85-89,0,varones,85-89
10831,1,90-94,0,varones,90-94
10831,1,+95,0,varones,+95
10831,2,0-4,3,mujeres,0-4
10831,2,5-9,1,mujeres,5-9
10831,2,10-14,0,mujeres,10-14
10831,2,15-19,4,mujeres,15-19
10831,2,20-24,2,mujeres,20-24
10831,2,25-29,4,mujeres,25-29
10831,2,30-34,1,mujeres,30-34
10831,2,35-39,0,mujeres,35-39
10831,2,40-44,3,mujeres,40-44
